Date;fer;vac;tourn;tempMoy;tempMax;tempMin;wind;rain;nbPlay;open;nbCov
03/11/2017;0;1;0;14,4;22,7;11,5;3,3;0;8;True;85
04/11/2017;0;1;0;14;17,4;11;7,5;1;11;True;102
05/11/2017;0;1;0;10,4;14,4;7,3;7,2;1;0;True;181
06/11/2017;0;0;0;8,4;16,5;3,3;3,8;0;0;False;0
07/11/2017;0;0;0;5,9;15,3;1,8;2,4;0;0;True;104
08/11/2017;0;0;0;6,7;12,5;2,4;2,4;0;84;True;128
09/11/2017;0;0;0;9,4;13,5;6,9;3;1;69;True;139
10/11/2017;0;0;0;12,2;15,7;9;6,9;1;0;True;102
11/11/2017;1;0;0;13,2;18,2;10;8,5;1;43;True;136
12/11/2017;0;0;0;12,5;15,2;8,9;9,9;1;0;True;193
13/11/2017;0;0;0;8,2;13,7;5,5;6,5;0;0;False;0
14/11/2017;0;0;0;8,2;16,6;3,6;3,4;0;0;True;117
15/11/2017;0;0;0;9,7;13,7;7,1;2,6;0;40;True;113
16/11/2017;0;0;0;10,4;18,3;7,9;2;0;0;True;135
17/11/2017;0;0;0;10,8;13;8,8;2,5;0;32;True;116
18/11/2017;0;0;0;9,1;11,2;6,6;6,5;1;30;True;177
19/11/2017;0;0;0;9,7;12,9;4,6;7,1;1;41;True;216
20/11/2017;0;0;0;9,3;12,6;6,1;5,2;0;0;False;0
21/11/2017;0;0;0;11,8;13,2;10,2;5,4;0;0;True;110
22/11/2017;0;0;0;12,5;16,5;9,8;7,8;0;17;True;96
23/11/2017;0;0;0;13,5;18,7;11,4;9,6;1;10;True;110
24/11/2017;0;0;0;12,9;15,3;11,1;9,1;1;10;True;76
25/11/2017;0;0;0;8,9;11,8;6,1;6,8;1;85;True;152
26/11/2017;0;0;0;7;11,7;5,2;6,6;0;200;True;210
27/11/2017;0;0;0;8,6;10,5;5,3;7,5;1;0;True;101
28/11/2017;0;0;0;9,7;14,7;6,4;6,8;1;0;True;129
29/11/2017;0;0;0;6,3;9,9;4,6;4,6;1;9;True;101
30/11/2017;0;0;0;6,2;9,2;3,8;6,2;1;0;True;71
01/12/2017;0;0;0;5;7;3,2;4,7;1;0;True;85
02/12/2017;0;0;0;3,1;4,4;1,6;3,3;0;0;True;121
03/12/2017;0;0;0;3,7;7,9;0,9;5,2;1;13;True;154
04/12/2017;0;0;0;9,8;14,2;7,4;3,7;0;43;False;0
05/12/2017;0;0;0;9,3;11,7;5,6;2,6;0;52;True;135
06/12/2017;0;0;0;9;11,4;5,3;4,6;1;0;True;91
07/12/2017;0;0;0;7,2;11,8;4,3;11,3;1;0;True;46
08/12/2017;0;0;0;6,6;10,7;3,9;8,6;1;0;True;60
09/12/2017;0;0;0;4,4;9,4;2,9;6,4;1;0;True;113
10/12/2017;0;0;0;6,8;12,6;1,9;13,4;1;0;True;124
11/12/2017;0;0;0;8,4;12,5;4,6;15,4;1;0;True;103
12/12/2017;0;0;0;4,9;9,9;2,8;5,2;1;0;False;0
13/12/2017;0;0;0;7,7;12,3;3,9;11,2;1;0;True;53
14/12/2017;0;0;0;7,1;10,7;4,3;14,1;1;0;True;52
15/12/2017;0;0;0;5,7;7,6;4,3;8,6;1;0;True;115
16/12/2017;0;0;0;6,1;9,2;3,4;5,8;1;49;True;130
17/12/2017;0;0;0;5,1;13;2,2;5,2;1;0;True;167
18/12/2017;0;0;0;8,5;11;4,3;6,5;1;0;False;0
19/12/2017;0;0;0;5,2;7;3,3;2,6;0;0;True;73
20/12/2017;0;0;0;9,3;11,4;6,3;3,4;0;0;True;40
21/12/2017;0;0;0;12,2;13,6;10,9;4,6;1;0;True;66
22/12/2017;0;0;0;12,5;13,3;11,1;4,3;1;0;True;40
23/12/2017;0;1;0;12,5;16,6;11,9;4,3;0;0;True;127
24/12/2017;0;1;0;11,8;12,2;11,1;5,3;1;0;True;76
25/12/2017;1;1;0;9,3;11,5;7,6;7,2;0;0;True;49
26/12/2017;0;1;0;9,3;10,6;7,9;11;1;0;False;0
27/12/2017;0;1;0;7,4;9,3;5,2;11,6;1;0;True;53
28/12/2017;0;1;0;3,6;7,7;1,4;7,8;1;0;True;101
29/12/2017;0;1;0;5;10,2;1,2;11,6;1;0;True;23
30/12/2017;0;1;0;12,9;16,1;7,9;10,4;1;0;True;59
31/12/2017;0;1;0;12,6;14,8;9;11,3;0;0;True;81
01/01/2018;1;1;0;7,8;11,1;5,7;11,1;1;0;False;0
02/01/2018;0;1;0;8,4;13;6,1;11,9;1;0;True;61
03/01/2018;0;1;0;10,6;15,3;6,4;14,4;1;0;True;29
04/01/2018;0;1;0;12;15,9;7,4;12,7;1;0;True;57
05/01/2018;0;1;0;10,1;12,8;7,2;7,1;1;32;True;76
06/01/2018;0;1;0;8,9;10,4;6,9;5;1;0;True;83
07/01/2018;0;1;0;8,2;8,9;7,6;6,3;1;0;True;176
08/01/2018;0;0;0;7,8;10,8;6,4;4,9;0;0;False;0
